Info;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"This spreadsheet ""Database.xlsx"" comprises data of thermodynamic, optical, mechanical properties of materials";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"In Sheet 1 ""main"" there are coefficients for steady functions of thermophysical properties in depence on pressure and temperature from VDI Heat Atlas.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Material;Molar weight of molecules in kg/mol calculated from ;Gaseous specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 6 p. 405;;;;;;;Gaseous thermal conductivity parameters from VDI Heat Atlas D3.1 Tab. 10 p. 445;;;;;Gaseous dynamic viscosity parameters from VDI Heat Atlas D3.1 Tab. 8 p. 425;;;;;Evaporation enthalpy parameters from VDI Heat Atlas D3.1 Tab. 4 S. 385;;;;;Liquid Specific heat capacity parameters from VDI Heat Atlas D3.1 Tab. 5 S. 395;;;;;;Critical values T in K, p in bara, rho in kg/m^3;;;Vapor pressure parameters from VDI Heat Atlas D3.1 Tab. 3 on p. 375;;;;Coefficients for calcutlation of 0,2% Dehngrenze in N/mm^2 from T in K (valid interval 77,15K - 823,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, mechanisch-technologische Eigenschaften);;;;;Coefficients for Elastizit‰tsmodul in kN/mm^2 from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Linearer Ausdehnungskoeffizient bzgl. 293,15K in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for Differentieller Temperaturkoeffizient der L‰nge in 10^-6/K from T in K (valid interval 173,15 - 1273,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for thermal conductivity in W/(m*K) from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for specific electrical resistance in 10^-6*Ohm*m from T in K (valid interval 293,15 - 1073,15 K) with polynom of order 1 (straight line A+B*T) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;Coefficients for actual specific heat capacity in 10^3 J/(kg*K) from T in K (valid interval 173,15 - 1273,15 K) with polynome of order 3 (A+B*T+Ö) (Source: WIAM online database, physikalische Eigenschaften (Source SEW 310:1992-08);;;;Diffusion volumes for calculation of diffusivity (species 1 - 5 values are tabulated values) (Acc. To Reid - The Properties of Gases and Liquids?);Number of respective atoms in the molecule for calculation of molar weight and diffusivity volume of non-tabulated materials;;;;;;;;Stoﬂquerschnitt nach Atkins Physikalische Chemie 2022 S. 1128;Porosity acc. GKN Porous Axial p.4+5;alpha acc. GKN Porous Axial p. 4+5 / Psi_v acc. DIN EN ISO 4022;beta acc. GKN Porous Axial p. 4+5 / Psi_i acc. DIN EN ISO 4022;d_min acc. GKN Porous Axial p. 4+5;d_mean acc. GKN Porous Axial p. 4+5;d_max acc. GKN Porous Axial p. 4+5;d_eq acc. GKN Porous Axial p. 4+5;Henry's Constant parameters for Gases and Light Hydrocarbons in n-Paraffins, valid Interval regarding T and n varies but is valid for T = 423Ö528K and n=30 (Source: 10.1016/S0378-3812(97)00166-0);;;;;;Molar density at boiling point to calculate Diffusion coefficient in liquid (https://webbook.nist.gov/chemistry/fluid/)
;kg/mol;A;B;C;D;E;F;G;A*10^3;B*10^3;C*10^6;D*10^9;E*10^12;A*10^5;B*10^7;C*10^10;D*10^12;E*10^15;A;B;C;D;E;A;B;C;D;E;F;T;p;rho;A;B;C;D;A;B;C;D;E;A;B;A;B;A;B;A;B;A;B;A;B;C;D;10^6 m^3/mol;C;H;O;N;S;Fe;Cr;Ni;nm^2;-;10^-12 m^2;10^-7 m^2;µm;µm;µm;µm;A;B;C;D;E;DeltaH;mol/m^3
H2;0.002;392.8422;2.4906;-3.6262;-1.9624;35.6197;-81.3691;62.6668;0.651;0.7673;-0.68705;0.50651;-0.13854;0.18024;0.27174;-0.13395;0.00585;-0.00104;0;0;0;0;0;0;0;0;0;0;0;33.19;13.15;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.12;0;2;0;0;0;0;0;0;0.27;0;0;0;0;0;0;0;12.93530000000;22.90580000000;-0.97470900000;-0.00000120408;2244.61000000000;0.02009590000;35146
CO;0.028;407.9796;3.5028;2.8524;-2.3018;32.9055;-100.1815;106.1141;-0.783;0.10317;-0.06759;0.03945;-0.00947;0.01384;0.74306;-0.62996;0.03948;-0.01032;0;0;0;0;0;0;0;0;0;0;0;132.86;34.98;304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5.79833000000;19.59370000000;0.15219900000;-0.00000189733;2031.63000000000;0.01732380000;28318
N2;0.028;432.2027;3.516;2.8021;-4.1924;42.0153;-114.25;111.1019;-0.133;0.10149;-0.06065;0.03361;-0.0071;-0.0102;0.74785;-0.59037;0.0323;-0.00673;0;0;0;0;0;0;0;0;0;0;0;126.19;33.96;313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.5;0;0;0;2;0;0;0;0;0.43;0;0;0;0;0;0;0;;;;;;;
CO2;0.044;514.5073;3.4923;-0.9306;-6.0861;54.1586;-97.5157;70.9687;-3.882;0.05283;0.07146;-0.07031;0.01809;-0.18024;0.65989;-0.37108;0.01586;-0.003;0;0;0;0;0;0;0;0;0;0;0;304.13;73.77;468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.9;1;0;2;0;0;0;0;0;0.52;0;0;0;0;0;0;0;;;;;;;
H2O;0.018;706.3032;5.1703;-6.0865;-6.6011;36.2723;-63.0965;46.2085;13.918;-0.04699;0.258066;-0.183149;0.055092;0.64966;-0.15102;1.15935;-0.1008;0.031;6.85307;7.43804;-2.937595;-3.282093;8.397378;0.2399;12.8647;-33.6392;104.7686;-155.4709;92.3726;647.1;220.64;322;-7.86975;1.90561;-2.30891;-2.06472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
CH3OH;0.032;846.6321;5.7309;-4.8842;-12.8501;78.9997;-127.3725;82.7107;2.362;0.00541;0.13151;0;0;-0.15159;0.3927;-0.06541;0;0;5.87513;13.91543;-5.81788;-5.692542;6.867206;0.5687;14.11;-11.9505;-23.4782;57.5551;-25.6027;513.38;82.16;282;-8.72963;1.4586;-2.78449;-0.70669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.25;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
CH4;0.016;1530.8043;4.2038;-16.615;-3.5668;43.0563;-86.5507;65.5986;8.154;0.00811;0.35153;-0.33865;0.14092;-0.07759;0.50484;-0.43101;0.03118;-0.00981;4.99314;5.01992;-2.261379;-2.477646;4.425783;0.4708;5.7207;-0.6552;-0.453;5.0199;-5.0556;190.56;45.99;163;-6.02388;1.26813;-0.56948;-1.37648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.14;1;4;0;0;0;0;0;0;0.46;0;0;0;0;0;0;0;;;;;;;
C2H6;0.030;903.4113;4.4815;11.6905;8.4792;-77.0215;122.9766;-74.06;-0.907;0.00892;0.26738;-0.16556;0.04833;-0.04537;0.35537;-0.09658;0;0;5.22295;7.28006;-4.737913;-0.58983;2.231339;0.4281;10.4584;-18.1757;51.6811;-75.832;44.469;305.32;48.72;206;-6.46252;1.3576;-1.04922;-2.03789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.66;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
C3H8;0.044;1089.3798;4.7246;-1.1767;3.7776;129.3687;-281.4223;216.9425;-6.656;0.0528;0.10181;0;0;0.07353;0.20874;0.24208;-0.03914;0.01784;5.52801;7.88661;-5.323736;0.088186;2.147194;0.5219;13.0156;-3.9111;-21.2164;49.1038;-30.2438;369.82;42.48;221;-6.7148;1.38388;-1.30695;-2.56827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.18;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
